Date,,"Thu, 15 Dec 2016 10:55:52 +0000",,,
Cite,,"Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/",,,
All rights reserved. Academic license for non-commercial use only.,,,,,
,,,,,
,,,,,
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.,,,,,
,,,,,
Time Series - Goldman Sachs Group,,,,,
Date,Open,High,Low,Close,Log Return
28/05/09,141.649994,145.289993,139.289993,144.649994,0.0326
29/05/09,145.809998,145.899994,141.279999,144.570007,-0.0006
01/06/09,145.800003,147.369995,143.309998,144.330002,-0.0017
02/06/09,143.25,144.970001,142.009995,143.130005,-0.0083
03/06/09,141.910004,143.309998,140.740005,142.149994,-0.0069
04/06/09,144.649994,149.75,144.399994,149.470001,0.0502
05/06/09,151.050003,151.169998,148.699997,149.009995,-0.0031
08/06/09,147.550003,149.440002,146.190002,148.350006,-0.0044
09/06/09,149,150.789993,148.100006,149.309998,0.0065
10/06/09,149.929993,149.990005,144.520004,146.679993,-0.0178
11/06/09,146.119995,147.949997,145,145.149994,-0.0105
12/06/09,144.380005,146.429993,144.149994,145.639999,0.0034
15/06/09,144.169998,145.600006,142.899994,143.009995,-0.0182
16/06/09,143.940002,145.850006,143.259995,144.160004,0.008
17/06/09,144.089996,144.089996,139.029999,139.729996,-0.0312
18/06/09,139.960007,143.699997,139.630005,143.089996,0.0238
19/06/09,143.190002,144.389999,141.529999,143.130005,0.0003
22/06/09,141.869995,143.520004,137.009995,137.009995,-0.0437
23/06/09,138.339996,141.220001,137.600006,141.190002,0.0301
24/06/09,142.529999,144.690002,141.309998,142.649994,0.0103
25/06/09,141.570007,144.619995,140.850006,144.429993,0.0124
26/06/09,144.490005,148.190002,143.929993,146.740005,0.0159
29/06/09,147.5,149.5,146.100006,149.360001,0.0177
30/06/09,149.399994,149.800003,146.240005,147.440002,-0.0129
01/07/09,147.589996,148.880005,146.619995,147.320007,-0.0008
02/07/09,145.860001,146.199997,143.279999,143.490005,-0.0263
06/07/09,142.660004,146.460007,142.259995,146.460007,0.0205
07/07/09,146.240005,146.970001,142.300003,142.539993,-0.0271
08/07/09,142.449997,142.929993,135.229996,138.550003,-0.0284
09/07/09,141.759995,144.889999,140.910004,143.210007,0.0331
10/07/09,142.350006,144.869995,141.199997,141.869995,-0.0094
13/07/09,146.720001,149.850006,145.050003,149.440002,0.052
14/07/09,148.979996,151.149994,148.080002,149.660004,0.0015
15/07/09,152.009995,155.979996,150.630005,155.259995,0.0367
16/07/09,155,157.990005,153.809998,156.839996,0.0101
17/07/09,155.869995,157.940002,155.520004,156.839996,0
20/07/09,157.75,160.729996,157.279999,160.029999,0.0201
21/07/09,159.889999,160.009995,157.020004,159.800003,-0.0014
22/07/09,158.190002,161.25,157.339996,160.460007,0.0041
23/07/09,160.199997,166.419998,159.300003,165.449997,0.0306
24/07/09,164.429993,165,162.809998,164.720001,-0.0044
27/07/09,164.699997,165.470001,162,163.869995,-0.0052
28/07/09,162.300003,162.389999,159.5,160.539993,-0.0205
29/07/09,159.210007,160.979996,157.899994,159.440002,-0.0069
30/07/09,161.110001,164.100006,160.710007,162.419998,0.0185
31/07/09,162.369995,163.869995,161.300003,163.300003,0.0054
03/08/09,165.199997,166.289993,163.300003,164.100006,0.0049
