30,JAN,95,53:23.6,39.27,21.45,15,3.2
31,JAN,95,25:07.0,38.66,20.64,15,3.5
31,JAN,95,12:13.8,38.82,20.58,0,3
31,JAN,95,02:46.4,38.79,20.55,1,3.3
31,JAN,95,38:19.6,38.72,20.47,0,3.6
31,JAN,95,50:21.4,38.81,20.54,5,3.5
31,JAN,95,55:32.8,38.69,20.45,0,3.4
31,JAN,95,38:10.1,38.84,20.55,2,3.7
31,JAN,95,55:53.4,38.72,20.5,0,2.8
31,JAN,95,01:43.3,38.77,20.6,1,3.3
31,JAN,95,30:32.1,38.82,20.56,0,3.1
31,JAN,95,12:56.5,38.8,20.54,0,3.2
31,JAN,95,23:23.9,40.46,23.6,0,3.2
31,JAN,95,27:05.8,40.47,23.6,0,2.4
31,JAN,95,33:18.8,42.7,24.03,9,3.1
31,JAN,95,47:40.5,38.53,23.61,100,2.9
31,JAN,95,18:54.7,38.72,21.67,18,3
31,JAN,95,46:51.3,38.71,21.71,21,2.9
1,FEB,95,07:57.3,39.49,21.21,16,2.3
1,FEB,95,41:34.2,40.67,21.51,3,2.3
1,FEB,95,50:22.5,39.19,23.17,21,2
1,FEB,95,40:08.2,40.77,22.74,0,2.1
1,FEB,95,24:47.5,40.59,23.4,2,2.1
1,FEB,95,57:40.4,38.62,27,0,3.7
2,FEB,95,37:49.1,38.33,22.06,5,2.8
2,FEB,95,06:25.8,40.91,19.73,22,3
2,FEB,95,38:20.3,40.93,20.88,0,2.9
2,FEB,95,45:43.6,41.47,23.91,0,2.6
3,FEB,95,01:05.5,40.47,23.59,0,2.2
3,FEB,95,55:20.4,38.32,27.23,0,3.7
3,FEB,95,29:14.1,34.43,24.82,10,4.6
4,FEB,95,18:52.1,37.65,22.75,0,3.1
4,FEB,95,42:46.6,40.19,23.94,0,2.2
5,FEB,95,13:41.4,40.34,21.08,0,2
5,FEB,95,46:14.2,40.4,21.15,15,2.7
5,FEB,95,12:41.3,40.38,21.08,1,2.1
5,FEB,95,50:13.4,41.12,20.4,0,2.6
5,FEB,95,17:56.7,40.19,26.09,8,3
5,FEB,95,12:20.5,40.27,26.23,29,3.5
5,FEB,95,07:32.6,39.44,19.87,0,2.7
6,FEB,95,41:31.9,40.12,20.22,36,2.5
6,FEB,95,01:51.1,39.16,20.48,7,3
6,FEB,95,07:33.7,39.36,20.28,0,2.8
6,FEB,95,02:24.6,41.25,19.9,6,2.8
7,FEB,95,14:44.2,41.08,19.89,13,3.3
7,FEB,95,58:12.5,39.75,20.41,21,2.7
7,FEB,95,46:47.8,39.87,21.75,20,2.5
7,FEB,95,47:57.9,42.2,24.09,0,2.8
7,FEB,95,42:36.5,38.76,20.97,0,2.7
8,FEB,95,13:59.2,39.53,20.16,32,2.8
8,FEB,95,24:57.1,40.77,27.6,31,4.3
9,FEB,95,42:03.6,38.64,21.21,25,3.2
9,FEB,95,59:45.8,39.09,23.25,37,2.1
10,FEB,95,53:39.8,41.13,19.78,20,3.6
10,FEB,95,18:39.0,38.41,22.42,0,3
11,FEB,95,36:32.7,41.93,23.04,10,2.7
11,FEB,95,32:59.1,41.07,22.21,0,2.2
11,FEB,95,08:33.8,39.64,24.25,9,3.2
11,FEB,95,40:53.6,41.25,22.79,4,2.2
12,FEB,95,27:26.0,38.63,20.48,0,3
13,FEB,95,54:58.5,37.89,23.31,10,3.3
13,FEB,95,42:38.8,39.42,23.97,3,2.2
13,FEB,95,16:36.4,40.69,22.76,13,4.3
13,FEB,95,51:58.9,40.69,22.73,4,2.8
13,FEB,95,04:56.5,40.93,20.83,0,2.5
13,FEB,95,11:41.9,40.7,22.73,0,2.2
13,FEB,95,30:24.1,40.71,22.74,0,2
13,FEB,95,30:42.7,40.71,22.74,0,2.9
13,FEB,95,04:15.4,40.64,22.68,0,2.1
13,FEB,95,09:08.9,38.65,21.67,20,2.9
13,FEB,95,50:49.9,40.71,22.74,0,2
14,FEB,95,45:39.1,40.7,22.75,0,2.1
14,FEB,95,35:39.9,40.71,22.72,0,3.2
14,FEB,95,35:00.2,39.3,20.2,1,2.8
15,FEB,95,23:32.2,40.71,22.76,0,2.3
15,FEB,95,49:34.5,38.55,24.42,13,2.9
15,FEB,95,46:01.7,40.7,22.74,0,2.2
15,FEB,95,58:43.4,40.71,22.75,3,2.7
16,FEB,95,07:03.0,40.7,22.75,8,3
16,FEB,95,02:18.4,33.96,26.5,69,4.7
16,FEB,95,27:00.4,38.87,20.52,0,3
17,FEB,95,36:24.4,39.43,22.88,0,2
17,FEB,95,39:56.4,40.45,23.43,0,2.1
17,FEB,95,05:26.9,37.75,20.25,10,4.2
17,FEB,95,37:39.5,38.48,21.56,7,3
17,FEB,95,34:56.1,41.11,21.24,0,2.4
17,FEB,95,20:25.2,38.55,21.79,33,2.6
17,FEB,95,49:15.2,40.71,22.72,1,2
17,FEB,95,13:29.5,40.7,22.75,1,2.5
17,FEB,95,50:15.6,40.48,20.34,19,2.6
18,FEB,95,54:58.9,39.73,25.43,12,3.5
18,FEB,95,46:50.4,39.05,16.66,200,3.6
18,FEB,95,36:30.7,35.68,21.43,70,3.8
18,FEB,95,19:29.1,39.98,21.73,0,2.4
18,FEB,95,54:40.4,38.65,26.54,0,3.8
18,FEB,95,54:27.2,39.38,20.52,0,2.6
19,FEB,95,22:06.7,40.71,22.72,0,2
